Start Time,End Time,Text
0.0,10.46," We're 40 days away from the 2022 Winter Olympics in Beijing, games that come"
10.46,15.88," wreath in controversy. To many, China is a problematic host, given the country's"
15.88,20.92, human rights abuses and hard authoritarian turn. One of the loudest voices
20.92,26.48," condemning China is not a voice at all, but rather a hand. Since self-exiling"
26.48,32.0," from China in 2009, the artist known simply as Body It's Owl has used his work"
32.0,36.4, to take on the country's leader Xi Jinping specifically and the regime more
36.4,40.84," generally. Like all the best political cartoonists, Body It's Owl is"
40.84,45.88, alternately angry and playful as he calls attention to what he sees as China's
45.88,52.0," brutality. It's common as steep price. Body It's Owl may never go home again, but"
52.0,58.12, on he goes traveling the world using paint and wit online and on walls to draw
58.12,68.32, truth to power. The story will continue in a moment. Had you been in Miami Beach
68.32,72.72," this fall, you'd be forgiven for walking by this plaza in thinking you'd"
72.72,77.24000000000001, encountered promotional billboards for the Beijing Winter Olympics. But a
77.24,83.28, closer look revealed a provocative visual argument for why China is unfit to
83.28,86.6," host the games. Here was a Chinese hockey player,"
86.6,91.67999999999999," bloodying a Tibetan monk, a Chinese snowboarder, a top of surveillance camera, a"
91.67999999999999,96.67999999999999, faceless Chinese biathlete poised to execute a member of the weaker minority.
96.67999999999999,102.88, A curler representing China's delay in warning the world about COVID. This was
102.88,108.32," the handy work of Body It's Owl, a 35-year-old Chinese exile now based in"
108.32,112.3," Australia. I noticed if you look closely, those aren't conventional Olympic"
112.3,118.39999999999999, rings. They're actually made of Bob Dwyer. That's exactly how China is going to use
118.39999999999999,126.03999999999999," Olympics not as a celebration for humanity, but actually use it as a platform to"
126.03999999999999,131.12," promoting its propaganda, which is fundamentally cracking down people's"
131.12,136.32, basic rights. Body It's Owl had come to South Florida to accept the human
136.32,141.52," rights foundations, Votswav Havl Prize for creative descent. What do you see as"
141.52,147.88," the purpose of your art? I sometimes just imagine I'm this kid, he's holding a big"
147.88,152.76," rock, and just throw the rock into the lake so that we see all the splashes, we"
152.76,156.32," see the change. You throw your rock in this lake, see the splash, see where the"
156.32,164.04, ripples ripple. Exactly. China does not tolerate ripples. Inside China there are
164.04,168.64," strict laws forbidding mocking and questioning leaders of the Communist Party,"
168.64,174.92," known as the CCP. Even outside China, descent does not go over well. Do you feel"
174.92,181.07999999999998," in danger? Do you feel unsafe? Well, this is actually my daily routine that I"
181.07999999999998,185.44," would receive death threats in a daily based online on my social media Twitter,"
185.44,191.2," Instagram, direct message. Body It's Owl knows that as an artist poking the"
191.2,196.8," Chinese regime, he risks retaliation, both against himself and his family back in"
196.8,201.76," China. For years, he hid behind a mask in public, working in Cognito,"
201.76,206.9," guerrilla style, both in Australia and anytime he traveled. He adopted a"
206.9,212.68," pseudonym, Spadiet's Owl, a name that purposely he says has no meaning. How many"
212.68,217.28," people know your real name? If you know I'm body of style, then you don't know my"
217.28,221.88," real name. And if you know my real name, then you don't know I'm body of style. When"
221.88,226.76000000000002," the Chinese figured out his real identity three years ago, body of style initially"
226.76000000000002,231.8," went underground, but he took off his mask and has continued hurling darts at the"
231.8,237.68," regime. In this recent cartoon, tennis star Pung Shui confronts the reality of"
237.68,243.5, accusing a former vice premier of sexual assault. I want to be an inspiring
243.5,249.92000000000002, figure. I want my arts to helping others to collecting courage and join me. But
249.92000000000002,255.8," if I giving up this, then what does it say to the rest of them? What is the"
255.8,260.96000000000004, relationship between your popularity and your security? I do think it has a very
260.96000000000004,266.54," close relationship. So almost the more popular you get, you're buying yourself an"
266.54,272.06," extra layer of security. Yeah, and that's the only way that you can do it. Maybe"
272.06,277.46000000000004," so, but being popular also means his work has been scrubbed by sensors inside"
