Start Time,End Time,Text
0.0,5.04, Her name is Francis Hogan.
5.04,10.48, That is a fact that Facebook has been anxious to know since last month when an anonymous
10.48,15.36, former employee filed complaints with federal law enforcement.
15.36,21.2," The complaints say Facebook's own research shows that it amplifies hate, misinformation"
21.2,26.04," and political unrest, but the company hides what it knows."
26.04,31.52, One complaint alleges that Facebook's Instagram harms teenage girls.
31.52,37.44, What makes Hogan's complaints unprecedented is the trove of private Facebook research
37.44,40.32, she took when she quit in May.
40.32,45.68," The documents appeared first last month in the Wall Street Journal, but tonight Francis"
45.68,54.0, Hogan is revealing her identity to explain why she became the Facebook whistleblower.
54.0,59.480000000000004, The story will continue in a moment.
59.480000000000004,64.32, The thing I saw at Facebook over and over again was there were conflicts of interest between
64.32,68.96000000000001, what was good for the public and what was good for Facebook.
68.96000000000001,72.56," And Facebook over and over again shows to optimize for its own interests, like making"
72.56,73.88, more money.
73.88,80.72," Francis Hogan is 37, a data scientist from Iowa, with a degree in computer engineering and"
80.72,83.84, a Harvard master's degree in business.
83.84,88.92," For 15 years, she's worked for companies including Google and Pinterest."
88.92,92.64, I've seen a bunch of social networks and it was substantially worse at Facebook than
92.64,93.96000000000001, anything I'd seen before.
93.96000000000001,96.76," You know, someone else might have just quit and moved on."
96.76,99.56, And I wonder why you take this stand.
99.56,104.48, Imagine you know what's going on on Facebook and you know no one on the outside knows.
104.48,109.36," I knew what my future looked like if I continued to stay inside of Facebook, which is person"
109.36,114.52, after person after person has tackled this inside of Facebook and ground themselves to
114.52,115.68, the ground.
115.68,120.32, When and how did it occur to you to take all of these documents out of the company?
120.32,125.92," At some point in 2021, I realized, okay, I'm going to have to do this in a systemic way"
125.92,131.16, and I have to get out enough that no one can question that this is real.
131.16,137.68, She secretly copied tens of thousands of pages of Facebook internal research.
137.68,143.14000000000001, She says evidence shows that the company is lying to the public about making significant
143.14000000000001,147.72," progress against hate, violence and misinformation."
147.72,154.72," One study she found from this year says, we estimate that we may action as little as 3"
154.72,162.76000000000002, to 5% of hate and about 6 tenths of 1% of violence and incitement on Facebook despite
162.76000000000002,165.4, being the best in the world at it.
165.4,171.12," To quote from another one of the documents you brought out, we have evidence from a variety"
171.12,177.96," of sources that hate speech, divisive political speech and misinformation on Facebook and the"
177.96,184.0, family of apps are affecting societies around the world.
184.0,188.72," When we live in an information environment that is full of angry, hateful, polarizing"
188.72,194.64000000000001," content, it erodes our civic trust, it erodes our faith in each other, it erodes our"
194.64,198.0, ability to want to care for each other.
198.0,202.76, The version of Facebook that exists today is tearing our societies apart and causing
202.76,205.27999999999997, ethnic violence around the world.
205.27999999999997,211.72," Ethnic violence, including me and Mar in 2018, when the military used Facebook to launch"
211.72,213.23999999999998, a genocide.
213.23999999999998,215.32, The first quarter of 2019.
215.32,220.07999999999998, Frances Hogan told us she was recruited by Facebook in 2019.
220.08,226.36, She says she agreed to take the job only if she could work against misinformation because
226.36,230.96, she had lost a friend to online conspiracy theories.
230.96,237.0, I never wanted anyone to feel the pain that I had felt and I had seen how high the stakes
237.0,240.8, were in terms of making sure there was high quality information on Facebook.
240.8,246.36," At headquarters, she was assigned to civic integrity which worked on risks to elections"
246.36,248.56, including misinformation.
248.56,252.48," But after this past election, there was a turning point."
252.48,256.88, They told us we're dissolving civic integrity.
256.88,259.04," Like they basically said, oh good, we made it through the election."
259.04,260.04, There wasn't riots.
260.04,262.48, We can get rid of civic integrity now.
262.48,265.48, Fast forward a couple of months we got the insurrection.
265.48,271.56," And when they got rid of civic integrity, it was the moment where I was like, I don't"
271.56,276.88, trust that they're willing to actually invest with me to be invested to keep Facebook
276.88,278.76, from being dangerous.
278.76,284.96, Facebook says the work of civic integrity was distributed to other units.
