Start Time,End Time,Text
0.0,7.6000000000000005, Mark Esper is a Washington insider who spent his whole career flying below the radar until
7.6000000000000005,11.6, he became President Donald Trump's second Secretary of Defense.
11.6,17.72," A West Point graduate and paratrooper, Esper spent 10 years as a by-the-book Army officer."
17.72,22.68," And when he left active duty, he moved through the revolving doors of think tank jobs, capital"
22.68,26.62," hill and Pentagon staff positions, and defense lobbying."
26.62,31.580000000000002, It all turned out to be boot camp for his assignment as defense secretary and a face-off
31.580000000000002,36.34," with Mr. Trump, whom he came to regard as a threat to American democracy."
36.34,42.18, But we begin tonight with the former Defense Secretary's thoughts on Russia's war in
42.18,43.980000000000004, Ukraine.
43.980000000000004,46.58, The story will continue in a moment.
46.58,56.1," Overall, how would you grade President Biden and his administration's performance in terms"
56.1,57.74, of Ukraine?
57.74,58.74, It's mixed.
58.74,60.02, It had a shaky start.
60.02,63.620000000000005," I would have never taken the military option off the table, for example."
63.620000000000005,68.66," I don't understand the reluctance to provide the Ukrainians with migs, fighter jets."
68.66,69.98, That's right.
69.98,71.5," But since then, it's picked up."
71.5,75.54, I think we're now flowing more supplies and material and weapons into Ukraine.
75.54,79.78," I think they've done a good job of bringing the allies along, which is important."
79.78,81.26, You have to act collectively.
81.26,85.02000000000001," And you have to give some credit, by the way, to the Congress, which I think, you know,"
85.02,89.5," one of the few issues that has unified Congress has been this one, support for Ukraine."
89.5,91.02," And in some ways, they've led the administration."
91.02,96.86, So it's good to see now Congress and Executive Branch acting together reasonably aligned to
96.86,98.61999999999999, help the Ukrainian people.
98.61999999999999,103.78," Tomorrow, May 9th marks an important day on the Russian calendar, victory in World War"
103.78,104.78, 2.
104.78,109.14," Well, I think the conventional wisdom right now seems to be that by May 9th, Putin is"
109.14,114.14," going to try and secure Donbass, which should be occupying the rest of the Donetsk and"
114.14,118.26," Luhansk provinces, if you will, and declare them protected."
118.26,124.94, Is there any scenario where President Putin could take those regions and then just declare
124.94,125.94, victory?
125.94,126.94, Absolutely.
126.94,127.94, Absolutely.
127.94,130.26," I mean, if I were a betting man today, I'd say that is what he will do."
130.26,135.02," He'll at least secure the all of Donbass, declare that he's liberated the Russian speaking"
135.02,137.82, peoples of that region and declare victory.
137.82,140.82, And that will become another frozen conflict.
140.82,145.18, The Gaspers time as Secretary of Defense began when he was overwhelmingly confirmed by
145.18,150.26," the Senate 90-8 on July 23, 2019."
150.26,155.54," Two days later, on a phone call with President Zelensky, Mr. Trump asked for a quote of"
155.54,158.94, favor while he was holding up aid to Ukraine.
158.94,162.38, The call ultimately led to his impeachment.
162.38,167.45999999999998, You had to keep pressing President Trump to release $250 million in aid to Ukraine.
167.45999999999998,168.45999999999998, Yes.
168.46,171.3," And the argument after an argument, and I have to say, look, Mr. President, at the end"
171.3,173.78," of the day, Congress appropriated it."
173.78,175.26000000000002, It's the law.
175.26000000000002,176.26000000000002, We have to do it.
176.26000000000002,180.9," Esper writes in his new memoir, called a sacred oath that the Ukraine affair was an early"
180.9,184.54000000000002, source of tension between him and President Trump.
184.54000000000002,189.78," That tension would grow, as he told us when we met him at his alma mater, West Point."
189.78,193.38," Because it's important to our country, it's important to the Republic, the American people,"
193.38,197.26000000000002, that they understand what was going on in this very consequential period.
197.26,201.14," The last year of the Trump administration, and to tell the story about things we prevented,"
201.14,206.54," really bad things, dangerous things, they could have taken the country in a dark direction."
206.54,208.82, What kind of terrible things did you prevent?
208.82,213.1," At various times, during certainly the last year of the administration, you have folks"
213.1,219.01999999999998, in the White House who are proposing to take military action against Venezuela to strike
219.01999999999998,220.01999999999998, Iran.
220.01999999999998,223.29999999999998," At one point, somebody proposed we blockade Cuba."
223.42000000000002,225.42000000000002, These ideas would happen.
225.42000000000002,229.18," It seemed every few weeks, something like this would come up."
229.18,230.78, We'd have to swat them down.
230.78,231.78, Who's we?
231.78,232.78, Had to swat them down.
232.78,233.78," Well, mostly me."
233.78,236.9, I had good support from General Mark Milley.
236.9,241.10000000000002, Mark Esper and Chairman of the Joint Chiefs' Staff General Mark Milley ran the army for
241.10000000000002,245.58, over a year before finding themselves in charge at the Pentagon.
