Start Time,End Time,Text
0.0,4.44, 60 minutes rewind.
4.44,8.6," Madeline Albright has been on the job for a few weeks now, and Washington is already"
8.6,14.200000000000001, used to the idea of addressing the country's top diplomat as Madame Secretary.
14.200000000000001,18.52," But when we dropped in on the new Secretary of State last week, we found she's still"
18.52,20.52, getting used to the idea.
20.52,22.12, You're a pinch yourself.
22.12,23.12, Every morning.
23.12,27.52," You know, sometimes you wake up and you say, well, I just had a nice dream."
27.52,28.52, Do you think it's really true?
28.52,32.64," You know, and so it's a little bit like that."
32.64,38.92," Somebody said to me early on, do you realize that you have Thomas Jefferson's job and"
38.92,42.36, kind of a little awe there.
42.36,50.96," Yes, all this entire hall is filled with former Secretaries of State, and it gives you"
50.96,53.120000000000005, a great sense of history.
53.120000000000005,58.32, And I have to think that I'm now at the end of this line.
58.32,61.16, Do you want people to know about you?
61.16,63.56, I actually want them to know everything about me.
63.56,68.8, I am somebody who likes to have people know about me.
68.8,71.52, I am not a secretive person.
71.52,77.24000000000001," One thing about Albright that is no secret is that she came to America as a child, a refugee"
77.24000000000001,84.28," whose family fled Czechoslovakia twice, first from the Nazis, then from the communists."
84.28,88.52, But there were some things about her life that even Albright didn't know until just a
88.52,89.92, few days ago.
89.92,95.96000000000001," With the opening up of Czechoslovakia and with my naming as Secretary of State, there has"
95.96000000000001,102.68, been some very compelling information that the Washington Post found that my family was
102.68,111.08," indeed of Jewish origin, and that my grandparents may in fact have died in concentration camp."
111.08,112.56, And this was all unknown to you?
112.56,113.56, Totally.
113.56,125.12, I was raised Catholic and my parents were very political and saw the story as one or their
125.12,130.32, explanation to us was that they left for political reasons.
130.32,134.76, What Albright claims she just learned is that two and possibly three of her grandparents
134.76,139.08, were rounded up by the Nazis and taken to Auschwitz where they died.
139.08,144.04000000000002," At the time, Albright, her sister and parents were refugees in London."
144.04000000000002,148.44, Her parents never told her that they had converted to Catholicism in the thirties.
148.44,153.08, It only told her that her grandparents had died in the war.
153.08,158.16000000000003, This new chapter in her family history has come as a surprise to Albright who had been very
158.16000000000003,164.64000000000001," close to her parents, particularly her father, Joseph Corbell, a Czech diplomat who was serving"
164.64,169.95999999999998, at the United Nations in 1948 when the communists took over in Prague.
169.95999999999998,174.07999999999998, Were you very serious as a young girl?
174.07999999999998,175.07999999999998," Yes, I was."
175.07999999999998,177.07999999999998, I remember the war distinctly.
177.07999999999998,179.35999999999999, We were in London during the blitz.
179.35999999999999,184.95999999999998, I remember what it was like to come out of the air-aid shelter and see London bombed.
184.95999999999998,188.2, And then I was sent to school in Switzerland by myself when I was ten.
188.2,189.6, So I was pretty serious.
189.6,192.51999999999998, I think I was pretty boring in high school.
192.52,196.60000000000002, I was a foreign policy wonk even then.
196.60000000000002,199.16000000000003, Your sister says you're a lot more fun now.
199.16000000000003,200.16000000000003, I think I am.
200.16000000000003,201.28, I think I am.
201.28,202.8, I hope I am.
202.8,208.16000000000003," I know that fun for you is working hard, but you have to do something to get away from"
208.16000000000003,209.16000000000003, this.
209.16000000000003,216.76000000000002," I have a farm, not far from here, and nobody would ever recognize me on the farm as I"
216.76000000000002,222.28, play around in my garden barefooted and I go to the movies and I knit.
222.84,224.8, There's an awful lot to do.
224.8,226.12, You're having fun at it.
226.12,227.8," Yes, so far so good."
227.8,232.96," Young Madeline Corbell, as a new immigrant, tried to have fun too, but her father maintained"
232.96,235.88, a certain world outlook.
235.88,240.92000000000002," Believe it or not, my father used to follow me on dates."
240.92000000000002,248.02," He would let the poor boy drive me to the dance, follow us, and then insist that we be"
248.02,249.66, driven home.
249.66,255.58," And to this day, I will never forget the mortification when he's made me get into his car while my"
255.58,259.62, date followed me home and then invited this poor boy in for milk and cookies.
259.62,261.3, I didn't see that boy again.
261.3,262.3, And a chat with him?
262.3,264.3, Of that too.
264.3,269.22, Old Brite says she tried to be less protective when raising her three daughters.
269.22,272.90000000000003, They were there in the Oval Office last month holding the family Bible.
272.90000000000003,277.38," When Old Brite was sworn in as Secretary of State, a senior cabinet member, and the"
277.38,279.3, country's top diplomat.
279.3,280.3," So help me, God."
280.3,281.54," So help me, God."
281.54,285.38," Congratulations, Madam Secretary."
285.38,290.62," In her new job, Madeline Allbright is moving straight ahead in Washington's fast lane."
290.62,295.18, But she's been in the public eye for the last four years when she served as ambassador
295.18,297.34, to the United Nations.
297.34,300.74, There she stood out from the Penn Stry Proud.
300.74,307.1, How many times have you seen the Macarena at the Security Council?
307.1,311.46000000000004, You certainly weren't the typical diplomatic at the United Nations.
311.46000000000004,314.26000000000005, You were known for being outspoken.
314.26000000000005,318.5, Some even said that you were times undiplomatic.
318.5,322.42, Is that just the way you are or was that a deliberate tactic?
322.42,327.82000000000005," Well, first of all, I truly do believe it's important to say what you think."
327.82000000000005,332.58000000000004, And Old Brite often did exactly that in the usually stuffy confines of the U.S.
332.58000000000004,334.18, She told off the French.
334.18,340.86, The comments by the French Defense Minister are very ill-informed and counterproductive.
340.86,343.26, She warned Saddam Hussein.
