Start Time,End Time,Text
0.0,8.24," After humiliating defeats in Ukraine, Russian President Vladimir Putin told his people that"
8.24,14.84," the U.S. has been on destroying the Russian homeland. On Wednesday he drafted 300,000"
14.84,17.92, reservists and threatened nuclear war.
17.92,20.64," This is not a bluff, he said."
20.64,26.28," Ukraine dominated this past week's annual gathering of the UN General Assembly in New York,"
26.28,33.72, attended by President Biden and more than 120 world leaders. Friday we met the U.S. Secretary
33.72,42.2," of State, Antony Blinken, to talk about a world of challenges and Putin's nuclear threat."
42.2,47.84, The story will continue in a moment.
47.84,53.32, How concerned should Americans be about the prospect of nuclear war?
53.32,59.96," We've heard a lot of irresponsible rhetoric coming out of Vladimir Putin, but we're focused"
59.96,65.88," on making sure that we're all acting responsibly, especially when it comes to this kind of"
65.88,71.48, loose rhetoric. We have been very clear with the Russians publicly and as well as privately
71.48,74.6, to stop the loose talk about nuclear weapons.
74.6,80.2, privately the United States has been in communication with the Kremlin about these threats of nuclear
80.2,81.2, war.
81.2,89.28," Yes, it's very important that Moscow hear from us and know from us that the consequences"
89.28,93.52000000000001, would be horrific and we've made that very clear.
93.52000000000001,99.92," You call the nuclear talk loose talk, but isn't Vladimir Putin telling us what he's going"
99.92,103.72, to do if he is backed any further into a corner?
103.72,107.80000000000001, Vladimir Putin has a clear way out of the war he started and that's to end it.
107.8,112.0," If Russia stops fighting, the war ends."
112.0,114.84," If Ukraine stops fighting, you can ends."
114.84,119.92, Is there anyone in the Kremlin who can tell Vladimir Putin know if he decides to launch
119.92,122.16, a battlefield nuclear weapon?
122.16,131.12," They have a chain of command whether it works or not to be seen, but I think what you're"
131.12,137.12, pointing to is a larger challenge and that is the Achilles heel of autocracies anywhere.
137.12,144.20000000000002, There is usually not anyone who has the capacity or the will to speak truth to power and
144.20000000000002,150.36, part of the reason I think Russia has gotten itself into the mess that it's in is because
150.36,154.96, there is no one in the system to effectively tell Putin he's doing the wrong thing.
154.96,159.9," In our interview last week, President Biden told us that he had a message for Vladimir"
159.9,163.04000000000002, Putin on the use of nuclear weapons.
163.04,167.79999999999998," And don't, don't."
167.79999999999998,172.84, He went on to say the US response would be consequential.
172.84,173.92, What did he mean by that?
173.92,177.07999999999998, I'm not going to get into what the consequences would be.
177.07999999999998,184.04," Any use of nuclear weapons would have catastrophic effects for, of course, the country using them,"
184.04,185.39999999999998, but for many others as well.
185.39999999999998,189.79999999999998," If you can't give us specifics about a US response, can you tell us that the administration"
189.79999999999998,191.48, has a plan?
191.48,193.2, We do.
193.2,197.64, Is it a plan that would prevent World War III?
197.64,201.51999999999998, President Biden has been determined that as we're doing everything we can to help the
201.51999999999998,205.92," Ukrainians defend themselves, as we're doing everything we can to rally other countries,"
