Start Time,End Time,Text
0.0,7.74," On February 24th, with the Russian invasion coming at him from three sides, Ukrainian President"
7.74,12.96," Volodomir Zelensky reached for his most powerful weapon, his phone."
12.96,20.16," The moment Zelensky told his people he refused to flee, Ukraine refused to fall."
20.16,26.0," Leaders don't become legends often, but over these nearly seven weeks this 44-year-old"
26.0,32.08, former comedian inspired his country to stand up to the overwhelming force of Russia.
32.72,39.44," Last Wednesday, we were admitted to Zelensky's fortified war rooms to meet the man who stands"
39.44,46.64, between the Russian Army and the free world. The story will continue in a moment.
49.84,55.92, We met President Zelensky in the blacked-out hallways of
55.92,62.64," his command center in Ukraine's capital, Kiev. It is a fortress, crowded with troops,"
62.64,66.88," machine guns, mines, explosives, and a great deal more."
66.88,67.84, Are you safe here?
69.6,73.84," Yeah, I'm fine, he told us. I feel pretty calm about it."
73.84,77.12," Our guards are worried because there could be an airstrike,"
77.6,82.24000000000001," but when we get the air raid evacuation signal, we head downstairs."
82.24,86.16," Mr. President, what has it been like working under these conditions?"
88.0,93.11999999999999, We found a way how to work. We don't have any other way.
93.11999999999999,95.75999999999999, You found a way how to work. You don't have any other way.
97.91999999999999,102.0," Slipping back into Ukrainian, he said, it has to be dark in here."
102.0,106.64, You can't switch the lights on because a bomb could just fly in during an airstrike.
107.6,110.32000000000001, You have troops sleeping.
110.32000000000001,115.36, The President and his staff have lived here for 46 days now.
117.04,121.04," Russian invasion plan expected Kiev to fall in three days,"
121.76,126.4, but that relied on one assumption that Zelensky would run.
129.2,132.8," When everyone is telling you you need to go, you need to think."
132.88000000000002,136.96," Yeah, but before I do something, I analyze the situation."
136.96,139.68, I've always done it calmly without any chaos.
140.88000000000002,145.92000000000002," I might not be the strongest warrior, but I'm not willing to betray anyone."
146.8,150.32000000000002, What did you tell your wife and children about your decision?
152.32000000000002,156.72000000000003," I told them this is my choice, and I can't do it any other way."
158.56,162.32000000000002, I'm the President of my country. I'm the President of our people.
162.88000000000002,166.24," And even if I wasn't President, I would have stayed here."
167.84,173.44," My family understood, not only understood, but fully supported my decision."
173.44,174.48000000000002, Fully.
175.76000000000002,180.48000000000002, It was the decision that saved Ukraine from immediate collapse.
181.92000000000002,184.0," Good evening, everyone, he said."
185.04000000000002,187.76000000000002, We are all here. Our soldiers are here.
187.76000000000002,189.76000000000002, The citizens of the country are here.
190.23999999999998,196.48," We are all here protecting our independence, our country, and we're going to continue."
198.79999999999998,203.04, You had made a decision to give your life for your country if it came to that.
207.44,210.32," I don't want to make myself out to be a hero, he said."
211.12,214.48," I love my family. I want to live many more years,"
215.11999999999998,222.07999999999998," but choosing between running or being with my people, of course I'm ready to give my life for my country."
224.88,232.16," For a man with 44 million lives in his hands, we found Zelensky buoyant, gracious, humble,"
232.95999999999998,234.07999999999998, and brutally honest.
237.6,243.2," The day before our visit and angriors Zelensky scolded the UN Security Council,"
243.83999999999997,246.0, where's the security he asked?
248.88,251.2," In speaking to NATO, you called them weak."
252.0,257.36," In speaking to the UN Security Council, you said, if you can't help, you shouldn't exist."
258.88,265.44, Not very diplomatic of you. I wonder why you feel the need to speak so bluntly.
266.08,271.84," When you're working at diplomacy, there are no results."
