Start Time,End Time,Text,translated_text
0.0,10.46," We're 40 days away from the 2022 Winter Olympics in Beijing, games that come","Die Olympischen Winterspiele 2022 in Peking, die kommen, sind 40 Tage"
10.46,15.88," wreath in controversy. To many, China is a problematic host, given the country's","Die chinesische Regierung hat sich entschlossen, die chinesische Regierung"
15.88,20.92, human rights abuses and hard authoritarian turn. One of the loudest voices,Menschenrechtsverletzungen und autoritäres Verhalten: Eine der lautesten Stimme
20.92,26.48," condemning China is not a voice at all, but rather a hand. Since self-exiling","China zu verurteilen, ist keine Stimme, sondern eine Hand."
26.48,32.0," from China in 2009, the artist known simply as Body It's Owl has used his work","aus China im Jahr 2009, der Künstler bekannt einfach als Body It's Owl hat seine"
32.0,36.4, to take on the country's leader Xi Jinping specifically and the regime more,insbesondere gegen den Führer des Landes Xi Jinping und das Regime mehr an
36.4,40.84," generally. Like all the best political cartoonists, Body It's Owl is",Wie alle besten politischen Karikaturisten ist Body It's Owl
40.84,45.88, alternately angry and playful as he calls attention to what he sees as China's,"Während er die Aufmerksamkeit auf das lenkt, was er als Chinas"
45.88,52.0," brutality. It's common as steep price. Body It's Owl may never go home again, but","Brutalität. Es ist üblich, als hohen Preis. Body It's Owl"
52.0,58.12, on he goes traveling the world using paint and wit online and on walls to draw,auf er reist die Welt mit Farbe und Witze online und an Wänden
58.12,68.32, truth to power. The story will continue in a moment. Had you been in Miami Beach,Die Geschichte wird in einem Moment fortgesetzt.
68.32,72.72," this fall, you'd be forgiven for walking by this plaza in thinking you'd","dieser Herbst, würden Sie vergeben, wenn Sie an dieser Plaza laufen und"
72.72,77.24000000000001, encountered promotional billboards for the Beijing Winter Olympics. But a,Während der ersten Woche des ersten Jahres des Jahres 2006 hat sich die deutsche
77.24,83.28, closer look revealed a provocative visual argument for why China is unfit to,Ein genauerer Blick hat ein provokatives visuelles Argument für die Un
83.28,86.6," host the games. Here was a Chinese hockey player,","Die chinesische Hockeyspielerin, die hier gespielt hat, hat sich"
86.6,91.68," bloodying a Tibetan monk, a Chinese snowboarder, a top of surveillance camera, a","Ein tibetanischer Mönch, ein chinesischer Snowboard"
91.68,96.68, faceless Chinese biathlete poised to execute a member of the weaker minority.,"gesichtslose chinesische Biathletin, die bereit ist, ein Mitglied der"
96.68,102.88, A curler representing China's delay in warning the world about COVID. This was,"Ein Curling, der die Verzögerung Chinas repräsentiert, die"
102.88,108.32," the handy work of Body It's Owl, a 35-year-old Chinese exile now based in","die handliche Arbeit von Body It's Owl, einem 35-jährigen chinesischen"
108.32,112.3," Australia. I noticed if you look closely, those aren't conventional Olympic","Australien. Ich habe bemerkt, wenn man genau hinschaut, dass e"
112.3,118.4, rings. They're actually made of Bob Dwyer. That's exactly how China is going to use,ringe. Sie sind eigentlich aus Bob Dwyer. Genau so wird China dies
118.4,126.04," Olympics not as a celebration for humanity, but actually use it as a platform to","Die Olympischen Spiele dienen nicht als Feier für die Menschheit, sondern sie dienen"
126.04,131.12," promoting its propaganda, which is fundamentally cracking down people's","die Förderung ihrer Propaganda, die im Grunde genommen die Menschen"
131.12,136.32, basic rights. Body It's Owl had come to South Florida to accept the human,"Body It's Owl hatte nach Südflorida gekommen, um den Menschen"
136.32,141.52," rights foundations, Votswav Havl Prize for creative descent. What do you see as","Stiftungen für Rechte der Menschen, Votswav Havl Preis"
141.52,147.88," the purpose of your art? I sometimes just imagine I'm this kid, he's holding a big","Ich stelle mir manchmal vor, ich bin dieser Kind, er"
147.88,152.76," rock, and just throw the rock into the lake so that we see all the splashes, we","Fels, und werfen Sie einfach den Fels in den See, so dass"
152.76,156.32," see the change. You throw your rock in this lake, see the splash, see where the","Sie werfen Ihren Stein in diesen See, sehen Sie das Sprühen, sehen"
156.32,164.04, ripples ripple. Exactly. China does not tolerate ripples. Inside China there are,"hnlich wie bei den ersten großen chinesischen Städten, wo"
164.04,168.64," strict laws forbidding mocking and questioning leaders of the Communist Party,","strenge Gesetze, die es verbieten, die Führer der Komm"
