Start Time,End Time,Text,translated_text
0.0,5.04, Her name is Francis Hogan.,Ihr Name ist Francis Hogan.
5.04,10.48, That is a fact that Facebook has been anxious to know since last month when an anonymous,"Das ist eine Tatsache, die Facebook hat sich ernsthaft um zu wissen"
10.48,15.36, former employee filed complaints with federal law enforcement.,Ein ehemaliger Mitarbeiter hat Beschwerden bei der föderalen Strafverfolgung
15.36,21.2," The complaints say Facebook's own research shows that it amplifies hate, misinformation","Die Beschwerden besagen, dass die eigenen Forschungen von Facebook zeigen, dass es"
21.2,26.04," and political unrest, but the company hides what it knows.","und politische Unruhen, aber das Unternehmen verbirgt, was es"
26.04,31.52, One complaint alleges that Facebook's Instagram harms teenage girls.,"Eine Beschwerde behauptet, dass Facebook's Instagram schädigt Teen"
31.52,37.44, What makes Hogan's complaints unprecedented is the trove of private Facebook research,"Was Hogans Beschwerden noch nie dagewesen ist, ist die Menge privater Facebook"
37.44,40.32, she took when she quit in May.,"Sie nahm, als sie im Mai aufgab."
40.32,45.68," The documents appeared first last month in the Wall Street Journal, but tonight Francis","Die Dokumente erschienen zuerst im vergangenen Monat im Wall Street Journal, aber heute"
45.68,54.0, Hogan is revealing her identity to explain why she became the Facebook whistleblower.,"Hogan enthüllt ihre Identität, um zu erklären, warum"
54.0,59.48, The story will continue in a moment.,Die Geschichte wird in einem Moment fortgesetzt.
59.48,64.32, The thing I saw at Facebook over and over again was there were conflicts of interest between,"Das, was ich bei Facebook immer wieder sah, waren Interessenkonflik"
64.32,68.96000000000001, what was good for the public and what was good for Facebook.,Was war gut für die ffentlichkeit und was war gut für Facebook.
68.96000000000001,72.56," And Facebook over and over again shows to optimize for its own interests, like making","Und Facebook immer wieder zeigt, um für seine eigenen Interessen zu optimieren, wie das Mach"
72.56,73.88, more money.,"- ich habe es geschafft, es zu ersetzen."
73.88,80.72," Francis Hogan is 37, a data scientist from Iowa, with a degree in computer engineering and","Francis Hogan ist 37 Jahre alt, ein Datenwissenschaftler aus Iowa, mit einem Diplom"
80.72,83.84, a Harvard master's degree in business.,kaufmännisches Studium an Harvard.
83.84,88.92," For 15 years, she's worked for companies including Google and Pinterest.",Seit 15 Jahren arbeitete sie für Unternehmen wie Google und Pinterest.
88.92,92.64, I've seen a bunch of social networks and it was substantially worse at Facebook than,Ich habe eine Menge von sozialen Netzwerken gesehen und es war wesentlich schlecht
92.64,93.96, anything I'd seen before.,"Etwas spartanisch, aber es ist ok."
93.96,96.76," You know, someone else might have just quit and moved on.","Sie wissen, jemand anders hat vielleicht gerade rausgetreten und hat"
96.76,99.56, And I wonder why you take this stand.,"Und ich frage mich, warum Sie diese Haltung einnehmen."
99.56,104.48, Imagine you know what's going on on Facebook and you know no one on the outside knows.,"Stellen Sie sich vor, Sie wissen, was auf Facebook vor sich geht, und Sie wissen,"
104.48,109.36," I knew what my future looked like if I continued to stay inside of Facebook, which is person","Ich wusste, wie meine Zukunft aussah, wenn ich weiterhin i"
109.36,114.52, after person after person has tackled this inside of Facebook and ground themselves to,nach Person nach Person hat sich mit diesem innerhalb von Facebook befasst und
114.52,115.68, the ground.,- - - - - - - - -
115.68,120.32, When and how did it occur to you to take all of these documents out of the company?,"Wann und wie kam es Ihnen vor, all diese Dokumente aus dem Unternehmen zu"
120.32,125.92," At some point in 2021, I realized, okay, I'm going to have to do this in a systemic way","Irgendwann im Jahr 2021 erkannte ich, okay, ich werde das auf"
125.92,131.16, and I have to get out enough that no one can question that this is real.,"und ich muss genug herauskommen, damit niemand in Frage stellt, dass dies wirklich ist"
131.16,137.68, She secretly copied tens of thousands of pages of Facebook internal research.,Sie kopierte heimlich Zehntausende von Seiten interner Facebook-Re
137.68,143.14, She says evidence shows that the company is lying to the public about making significant,"Sie sagt, dass die Beweise zeigen, dass das Unternehmen der ffentlichkeit lü"
143.14,147.72," progress against hate, violence and misinformation.","Fortschritte gegen Hass, Gewalt und Desinformation."
147.72,154.72," One study she found from this year says, we estimate that we may action as little as 3","Eine Studie, die sie aus diesem Jahr fand, sagt, wir schätze"
154.72,162.76000000000002, to 5% of hate and about 6 tenths of 1% of violence and incitement on Facebook despite,bis zu 5% Hass und etwa 6 Zehntel 1% Gewalt und Aufsta
162.76000000000002,165.4, being the best in the world at it.,"es zu schaffen, die besten der Welt zu sein."
165.4,171.12," To quote from another one of the documents you brought out, we have evidence from a variety","Um aus einem anderen Dokument zu zitieren, das Sie herausgebracht haben, haben wir"
171.12,177.96," of sources that hate speech, divisive political speech and misinformation on Facebook and the","von Quellen, die Hass Reden, strittige politische Reden und Fehl"
177.96,184.0, family of apps are affecting societies around the world.,-Familie von Apps berührt Gesellschaften auf der ganzen
184.0,188.72," When we live in an information environment that is full of angry, hateful, polarizing","Wenn wir in einem Informationsumfeld leben, das voll von Wut, Hass und"
188.72,194.64," content, it erodes our civic trust, it erodes our faith in each other, it erodes our","- Inhalt, es untergräbt unser bürgerliches Vertrauen,"
194.64,198.0, ability to want to care for each other.,Können sich gegenseitig umsorgen wollen.
198.0,202.76, The version of Facebook that exists today is tearing our societies apart and causing,"Die Version von Facebook, die heute existiert, zerreißt unsere Gesellschaften und"
202.76,205.28, ethnic violence around the world.,Gewalt ethnischer Art auf der ganzen Welt.
205.28,211.72," Ethnic violence, including me and Mar in 2018, when the military used Facebook to launch","Gewalt auf ethnischem Gebiet, darunter auch ich und Mar im Jahr 2018,"
211.72,213.24, a genocide.,ein Völkermord.
213.24,215.32, The first quarter of 2019.,Das erste Quartal 2019.
215.32,220.08, Frances Hogan told us she was recruited by Facebook in 2019.,"Frances Hogan hat uns mitgeteilt, dass sie von Facebook im Jahr 2019 re"
220.08,226.36, She says she agreed to take the job only if she could work against misinformation because,"Sie sagt, sie habe nur dann zugestimmt, wenn sie gegen Fehlinformationen arbeiten"
226.36,230.96, she had lost a friend to online conspiracy theories.,"Sie hatte einen Freund verloren, weil es online Verschwörungstheorien"
230.96,237.0, I never wanted anyone to feel the pain that I had felt and I had seen how high the stakes,"Ich wollte nie, dass jemand den Schmerz fühlen würde, den ich ges"
237.0,240.8, were in terms of making sure there was high quality information on Facebook.,"Sehr freundliches Personal, sehr gutes Frühstücksbuffet, sehr gute"
