Start Time,End Time,Text,translated_text
0.0,7.6, Mark Esper is a Washington insider who spent his whole career flying below the radar until,"Mark Esper ist ein Insider aus Washington, der seine gesamte Karriere unter dem Radar ver"
7.6,11.6, he became President Donald Trump's second Secretary of Defense.,er wurde zum zweiten Verteidigungsminister von Präsident Donald Trump.
11.6,17.68," A West Point graduate and paratrooper, Esper spent 10 years as a by-the-book Army officer.",Als Absolvent der West Point University und Parachutist verbrachte Esper 10
17.68,22.64," And when he left active duty, he moved through the revolving doors of think tank jobs, capital","Und als er den aktiven Dienst verließ, wechselte er durch"
22.64,26.6," hill and Pentagon staff positions, and defense lobbying.",Hill und Pentagon-Personalpositionen und Verteidigungslobbying.
26.6,31.520000000000003, It all turned out to be boot camp for his assignment as defense secretary and a face-off,"Es stellte sich heraus, dass er sich im Bootcamp für seine Aufgabe als Vert"
31.520000000000003,36.6," with Mr. Trump, whom he came to regard as a threat to American democracy.","mit Herrn Trump, den er als Bedrohung der amerikanischen Demok"
36.6,42.08, But we begin tonight with the former Defense Secretary's thoughts on Russia's war in,Aber wir beginnen heute Abend mit den Überlegungen des ehemaligen Verteidigungsminister
42.08,43.92, Ukraine.,Ukraine.
43.92,46.56, The story will continue in a moment.,Die Geschichte wird in einem Moment fortgesetzt.
46.56,56.040000000000006," Overall, how would you grade President Biden and his administration's performance in terms",Wie würden Sie Präsident Biden und seine Regierung insgesamt bewertet?
56.04,57.72, of Ukraine?,der Ukraine?
57.72,58.72, It's mixed.,Es ist gemischt.
58.72,59.96, It had a shaky start.,Es hatte einen schwachen Start.
59.96,63.56," I would have never taken the military option off the table, for example.",Ich hätte beispielsweise nie die militärische Option außer Acht gelassen.
63.56,68.6," I don't understand the reluctance to provide the Ukrainians with migs, fighter jets.","Ich verstehe nicht, dass die Ukrainer nicht bereit sind, Migs, Kampfflug"
68.6,69.92, That's right.,Das ist richtig.
69.92,71.44," But since then, it's picked up.",Aber seitdem hat es sich wiederholt.
71.44,75.52, I think we're now flowing more supplies and material and weapons into Ukraine.,"Ich denke, wir fließen jetzt mehr Lieferungen, Material und Waffen in die Ukraine"
75.52,79.72," I think they've done a good job of bringing the allies along, which is important.","Ich denke, sie haben gute Arbeit geleistet, um die Verbündeten"
79.72,81.24, You have to act collectively.,Man muss kollektiv handeln.
81.24,84.84," And you have to give some credit, by the way, to the Congress, which I think.","Und Sie müssen übrigens dem Kongress, den ich glaube, einige Anerkennung"
84.84,88.88000000000001," You know, one of the few issues that has unified Congress has been this one, support for","Sie wissen, dass eines der wenigen Themen, die den Kongress vereint haben"
88.88000000000001,89.88000000000001, Ukraine.,Ukraine.
89.88000000000001,91.0," And in some ways, they've led the administration.",Und in gewisser Weise haben sie die Verwaltung geführt.
91.0,96.8," So it's good to see now Congress and executive branch acting together, reasonably aligned,","Es ist also gut, dass jetzt Kongress und Exekutive zusammen handeln,"
96.8,98.44, to help the Ukrainian people.,um dem ukrainischen Volk zu helfen.
98.44,103.52," Tomorrow, May 9th marks an important day on the Russian calendar, victory in World War","Morgen, den 9. Mai, ist ein wichtiger Tag im russischen Kalender, Sieg im Weltkrieg"
103.52,104.52, 2.,2.
104.52,109.08," Well, I think the conventional wisdom right now seems to be that by May 9th, Putin is","Nun, ich denke, die gängige Meinung scheint momentan zu sein, dass"
109.08,114.08," going to try and secure Donbass, which should be occupying the rest of the Donetsk and",". – Wir werden versuchen, den Donbass zu sichern, der den Rest"
114.08,118.2," Luhansk provinces, if you will, and declare them protected.","Luhansk Provinzen, wenn Sie wollen, und erklären sie geschützt."
118.2,124.92, Is there any scenario where President Putin could take those regions and then just declare,"Gibt es ein Szenario, in dem Präsident Putin diese Regionen"
124.92,125.92, victory?,sieg?
125.92,126.92, Absolutely.,Absolut.
126.92,127.92, Absolutely.,Absolut.
127.92,130.24," I mean, if I were a betting man today, I'd say that is what he will do.","Ich meine, wenn ich heute ein Wettmann wäre, würde ich sagen, das ist"
