Start Time,End Time,Text,translated_text
0.0,4.32, 60 minutes rewind.,60 Minuten Rückwärts.
4.32,8.88," Madeline Albright has been on the job for a few weeks now, and Washington is already used",Madeline Albright ist seit einigen Wochen im Amt und Washington ist bereits angew
8.88,14.16, to the idea of addressing the country's top diplomat as Madame Secretary.,"der Idee, sich an den obersten Diplomaten des Landes als Frau Sekretär"
14.16,18.52," But when we dropped in on the new Secretary of State last week, we found she's still","Aber als wir letzte Woche die neue Außenministerin erforschten, fanden wir"
18.52,20.0, getting used to the idea.,Getting used to the idea.
20.0,22.08, You ever pinch yourself?,Du spitzst dich jemals?
22.08,23.08, Every morning.,Jeden Morgen.
23.08,27.4," You know, sometimes you wake up and you say, well, I just had a nice dream.","Sie wissen, manchmal wachst du auf und du sags"
27.4,28.4, Do you think it's really true?,"Glauben Sie, dass es wirklich wahr ist?"
28.4,32.6," You know, and so it's a little bit like that.","Du weißt, und so ist es ein bisschen so."
32.6,38.8," Somebody said to me early on, do you realize that you have Thomas Jefferson's job and","Jemand hat mir zu Beginn gesagt: Ist es Ihnen bewusst, dass"
38.8,42.24, kind of a little awe there?,"Etwas schockierend, aber ich hoffe, dass e"
42.24,43.24, The job Marshall.,Die Arbeit Marshall.
43.24,44.24, Yes.,Ja.
44.24,51.64," Well, this entire hall is filled with former Secretary of State, and it gives you a great","Nun, dieser ganze Saal ist gefüllt mit ehemaligen Staatssekre"
51.64,58.28," sense of history, and I have to think that I'm now at the end of this line.","- Sinn für Geschichte, und ich muss denken, dass ich jetzt am Ende"
58.28,61.120000000000005, What do you want people to know about you?,"Was wollen Sie, dass die Leute wissen über Sie?"
61.120000000000005,63.52," Actually, I want them to know everything about me.","Eigentlich möchte ich, dass sie alles über mich wissen."
63.52,68.76, I am somebody who likes to have people know about me.,"Ich bin jemand, der gerne Leute wissen lassen möchte über mich."
68.76,71.48, I am not a secretive person.,Ich bin keine Geheimperson.
71.48,77.2," One thing about Albright that is no secret is that she came to America as a child, a refugee",Eines ist an Albright kein Geheimnis: Sie kam als Kind nach Amer
77.2,84.24000000000001," whose family fled Czechoslovakia twice, first from the Nazis, then from the communists.","dessen Familie zweimal aus der Tschechoslowakei floh,"
84.24,88.47999999999999, But there were some things about her life that even Albright didn't know until just a,"Aber es gab Dinge über ihr Leben, die selbst Albright erst aufgrund eine"
88.47999999999999,89.88, few days ago.,vor einigen Tagen.
89.88,95.92," With the opening up of Czechoslovakia and with my naming as Secretary of State, there has",Mit der ffnung der Tschechoslowakei und meiner Ern
95.92,102.64, been some very compelling information that the Washington Post found that my family was,"Einige sehr überzeugende Informationen, dass die Washington Post fand, dass meine Familie war"
102.64,111.04," indeed of Jewish origin, and that my grandparents may in fact have died in concentration camp.","Allerdings sind meine Großeltern jüdischer Herkunft, und e"
111.04,112.68, And this was all unknown to you?,Und das alles war dir nicht bekannt?
112.8,125.04," I was raised Catholic, and my parents were very political and saw the story as one or their","Ich wurde katholisch aufgewachsen, und meine Eltern waren sehr politisch und s"
125.04,130.28, explanation to us was that they left for political reasons.,"- ich habe es gesagt, ich habe es gesagt"
130.28,134.72, What Albright claims she just learned is that two and possibly three of her grandparents,"Albright behauptet, sie habe gerade erfahren, dass zwei und möglicherweise drei ihre"
134.72,139.04000000000002, were rounded up by the Nazis and taken to Auschwitz where they died.,") wurden von den Nazis gefasst und nach Auschwitz gebracht, wo"
139.04,144.0," At the time, Albright, her sister and parents were refugees in London.","Zu jener Zeit waren Albright, ihre Schwester und ihre Eltern Flüchtlinge in London"
144.0,148.92, Her parents never told her that they had converted to Catholicism in the thirties.,"Ihre Eltern haben ihr nie gesagt, dass sie in den dreißiger Jahren zum Katho"
148.92,153.0, It only told her that her grandparents had died in the war.,"Sie erfuhr nur, dass ihre Großeltern im Krieg gestorben waren."
153.0,158.07999999999998, This new chapter in her family history has come as a surprise to Albright who had been very,"Dieses neue Kapitel in ihrer Familiengeschichte ist für Albright, die sehr jung war"
158.07999999999998,164.6," close to her parents, particularly her father, Joseph Corbell, a Czech diplomat who was serving",Während der ersten zehn Jahre des Krieges hat sie sich in den
164.6,169.88, at the United Nations in 1948 when the communists took over in Prague.,"1948, als die Kommunisten in Prag die Macht übernahmen, bei den Verein"
169.88,174.07999999999998, Were you very serious as a young girl?,Haben Sie als junges Mädchen sehr ernst genommen?
174.07999999999998,175.07999999999998," Yes, I was.","Ja, ich war."
175.07999999999998,177.04, I remember the war distinctly.,Ich erinnere mich noch gut an den Krieg.
177.04,179.32, We were in London during the blitz.,Wir waren während des Blitzes in London.
179.32,184.92, I remember what it was like to come out of the air-aid shelter and see London bombed.,"Ich erinnere mich, wie es war, aus dem Lufthilfslager"
184.92,188.16, And then I was sent to school in Switzerland by myself when I was ten.,"Und dann wurde ich selbst in die Schweiz zur Schule geschickt, als ich zehn"
188.16,189.56, So I was pretty serious.,Also war ich ziemlich ernst.
189.56,192.48, I think I was pretty boring in high school.,"Ich denke, ich war ziemlich langweilig in der High School."
192.48,196.56, I was a foreign policy wonk even then.,Ich war schon damals außenpolitisches Gespür.
196.56,199.12, Your sister says you're a lot more fun now.,"Deine Schwester sagt, du sagst jetzt viel mehr Spaß."
199.12,200.12, I think I am.,"Ich denke, ich bin es."
200.12,201.24, I hope I am.,"Ich hoffe, ich bin es."
201.24,206.24, I know that fun for you is working hard.,"Ich weiß, dass Spaß für Sie ist hart zu arbeiten."
206.24,208.92, But you have to do something to get away from this.,"Aber man muss etwas tun, um davon abzukommen."
208.92,212.16," I have a farm, not far from here.","Ich habe einen Bauernhof, nicht weit von hier."
212.16,218.56, And nobody would ever recognize me on the farm as I play around in my garden barefooted,"Und niemand würde mich jemals auf dem Bauernhof erkennen, wenn ich barfuß in"
218.56,220.84, and I go to the movies.,und ich gehe zum Kino.
220.84,224.76," I'm a knit, but there's an awful lot to do.","Ich bin ein Stricker, aber es gibt eine schreckliche Menge"
224.76,226.08, You're having fun at it?,Du hast Spaß dabei?
226.08,227.76," Yes, so far so good.","Ja, so weit so gut."
227.76,232.92," Young Madeline Corbell is a new immigrant, tried to have fun too, but her father maintained","Die junge Madeline Corbell ist eine neue Einwandererin, versuchte, auch Spaß"
232.92,235.68, a certain world outlook.,eine bestimmte Weltperspektive.
235.68,240.88," Believe it or not, my father used to follow me on dates.","Glauben Sie es oder nicht, mein Vater folgte mir auf Terminen."
240.88,248.0," He would let the poor boy drive me to the dance, follow us, and then insist that we be","Er würde mich den armen Jungen zum Tanz treiben lassen, uns folgen und dann"
248.0,249.56, driven home.,gefahren nach Hause.
249.56,255.56," And to this day, I will never forget the mortification of when he's made me get into his car while my","Und bis heute werde ich niemals die Entsetzenheit vergessen, wenn er mich dazu"
255.56,256.72, date followed me home.,-Datum folgte mir nach Hause.
256.72,259.56, And then invited this poor boy in for milk and cookies.,Und dann lud dieser arme Junge zu Milch und Keksen ein
259.56,261.28, I didn't see that boy again.,Ich habe diesen Jungen nicht mehr gesehen.
261.28,262.28, And a chat with him?,Und ein Chat mit ihm?
262.28,264.28, Of that too.,Auch davon.
264.28,269.2, Old Brite says she tried to be less protective when raising her three daughters.,"Die alte Brite sagt, sie habe versucht, weniger schützend zu sein, als sie ihre"
269.2,272.88, They were there in the Oval Office last month holding the family Bible.,Sie waren dort im Oval Office vergangenen Monat mit der Familie Bibel.
272.88,277.36," When Old Brite was sworn in as Secretary of State, a senior cabinet member, and the","Als Old Brite als Staatssekretär, ein hochrangiger Kabi"
277.36,279.28000000000003, country's top diplomat.,- Präsident des Europäischen Parlaments.
279.28000000000003,280.28000000000003," So help me, God.","Also helfe mir, Gott."
280.28000000000003,281.28000000000003," So help me, God.","Also helfe mir, Gott."
281.28000000000003,285.32," Congratulations, Madam Secretary.","Herzlichen Glückwunsch, Frau Sekretärin."
285.32,290.56," In her new job, Madeline Allbright is moving straight ahead in Washington's fast lane.",Madeline Allbright hat sich in ihrem neuen Job gerade auf der Schnellstraße in
290.56,295.12, But she's been in the public eye for the last four years when she served as ambassador,"Aber sie ist seit vier Jahren in der ffentlichkeit, als sie als Botschafterin arbeitete"
295.12,297.28000000000003, to the United Nations.,zu den Vereinten Nationen.
297.28000000000003,300.72, There she stood out from the Penn Strive Proud.,Dort stand sie von der Penn Strive Proud heraus.
300.72,307.08000000000004, How many times have you seen the Macarena at the Security Council?,Wie oft haben Sie die Macarena beim Sicherheitsrat gesehen?
307.08,311.44, You certainly weren't the typical diplomatic at the United Nations.,Du bist sicher nicht der typische Diplomat bei den Vereinten Nationen.
311.44,314.24, You were known for being outspoken.,Sie waren bekannt für Ihre ußerungen.
314.24,318.48, Some even said that you were times undiplomatic.,"Einige haben sogar gesagt, dass Sie zeitweise undiplomatisch waren."
318.48,322.4, Is that just the way you are or was that a deliberate tactic?,"Ist das so, wie Sie sind, oder war das eine bewusste Taktik?"
322.4,327.79999999999995," Well, first of all, I truly do believe it's important to say what you think.","Nun, zunächst einmal glaube ich wirklich, dass es wichtig ist, zu sagen"
327.79999999999995,332.56, And Old Brite often did exactly that in the usually stuffy confines of the U.S.,Und Old Brite tat das oft genau in den gewöhnlich stümper
332.56,334.16, She told off the French.,Sie erzählte die Franzosen.
334.16,340.8, The comments by the French Defense Minister are very ill-informed and counterproductive.,Die ußerungen des französischen Verteidigungsminister
340.8,343.20000000000005, She warned Saddam Hussein.,Sie hat Saddam Hussein gewarnt.
343.20000000000005,349.72, Let it be absolutely clear to the Iraqi government that a repetition of its past mistakes will,"Es sollte der irakischen Regierung absolut klar sein, dass sich eine Wiederholung ihre"
349.72,354.64000000000004, be met by my government with the same resolve as before.,meiner Regierung mit der gleichen Entschlossenheit begegnen.
354.64000000000004,357.40000000000003, She threatened Haiti's military leaders.,Sie drohte den Führern des haitianischen Militärs.
357.40000000000003,363.96, You can depart voluntarily and soon or you can depart involuntarily and soon.,Sie können freiwillig und bald abreisen oder Sie können unfreiwillig und bald ab
363.96,369.56, And she used an undiplomatic Spanish word to express her contempt for the way Cuban fighter,"Und sie nutzte ein undiplomatisches spanisches Wort, um ihre Ver"
369.56,375.48, pilots boasted about shooting down two unarmed American civilian planes last year.,"Piloten prahlen sich, im vergangenen Jahr zwei unbewaffnete amerikanische"
375.48,379.28," Frankly, this is not Cahone's.","Ehrlich gesagt, das ist nicht Cahones."
379.28,381.08, This is cowardice.,Das ist Feigheit.
381.08,385.84," Her boss, President Clinton, called that the best one-liner in his administration's foreign","Ihr Chef, Präsident Clinton, hat das als die beste Einzündung"
385.84,386.84, policy.,Politik.
386.84,391.2, And it reflected something else that's different about Madeline Albright.,Und es spiegelte etwas anderes an Madeline Albright wider.
391.2,397.4," She's willing, her critics say, to willing, to send American troops into foreign conflicts.","Sie ist bereit, sagen ihre Kritiker, bereit, amerikanische Truppen in ausländische"
397.4,404.12," She backed using American military force in Haiti, in Somalia, in Rwanda, and in Bosnia.","Sie hat den Einsatz amerikanischer Militärkräfte in Haiti, Somalia, Ru"
404.12,411.32," Rather than feeling that it is wrong to interfere, I always believe that if you can stop something","Anstatt das Gefühl zu haben, dass es falsch ist, sich einzumischen,"
411.32,419.04, early and you can show the support of free countries for those who are under totalitarianism,"frühzeitig, und Sie können die Unterstützung der freien Länder für diejenigen, die"
419.04,421.64," and it's worth doing, that's my mindset.","und es lohnt sich zu tun, das ist mein Denken."
421.64,426.7600000000001, There are a lot of people who would read that as you're willing to put American military,"Es gibt viele Leute, die das lesen würden, da Sie bereit sind, amerikanische Mil"
426.7600000000001,428.7600000000001, men and women in harm's way.,Männer und Frauen in Gefahr.
428.7600000000001,437.76, The ability of America to marry force and diplomacy is something that is very important to the,"Die Fähigkeit Amerikas, Gewalt und Diplomatie zu vereinen"
437.76,439.8, maintenance of our values.,Unsere Werte zu erhalten.
439.8,446.84," And I think that we have to be very, very selective when we think about using our military, but","Und ich denke, dass wir sehr, sehr selektiv sein müssen,"
446.84,449.0, we can't be afraid to.,Wir können nicht scheuen.
449.0,452.52, Diplomacy was not in her career plan in college.,Im College war Diplomatie nicht in ihrem Karriereplan.
