Start Time,End Time,Text,translated_text
0.0,4.64, 60 minutes rewind.,60 Minuten Rückwärts.
4.64,6.6000000000000005," Next subject, baby boomers.",Als nächstes Thema: Babyboomers.
6.6000000000000005,8.76, Let's begin with a trivia question.,Beginnen wir mit einer trivialen Frage.
8.76,11.52, Who is the most quoted living American in the Penguin,Wer ist der am meisten zitierte lebende Amerikaner im Penguin
11.52,13.92, Dictionary of Humorous Quotations?,Dictionary of Humorous Quotations?
13.92,17.36," Woody Allen, Steve Martin, Johnny Carson,","Woody Allen, Steve Martin, Johnny Carson,"
17.36,18.36, Ruhl.,Ruhl.
18.36,19.16, Raw.,Raw.
19.16,20.32, Here's a clue.,Hier ist ein Hinweis.
20.32,22.92, His last two books made it to the top of the New York Times,Seine beiden letzten Bücher fanden Platz in der New York Times
22.92,24.4, bestseller list.,Bestsellerliste.
24.4,26.16, Still don't know.,Noch nicht wissen.
26.16,28.4, The answer is PJ O'Rourke.,Die Antwort ist PJ O'Rourke.
28.4,33.2," You may never have heard of him, but if you're in your 30s or 40s or early 50s, believe me,","Sie haben vielleicht nie von ihm gehört, aber wenn Sie in Ihren 30er oder 40er"
33.2,34.2, you know him.,Sie kennen ihn.
34.2,37.4, He's the guy on the leading edge of your generational curve.,Er ist der Mann an der Spitze Ihrer Generationskurve.
37.4,39.12," And college, he was a hippie.","Und College, er war ein Hippie."
39.12,43.0," And while you were giggling at the National Ampune, he was the editor-in-chief.","Und während du beim National Ampune gibst, war"
43.0,46.72," Now that you're getting older and becoming more conservative, guess who's become the","Jetzt, da du älter und konservativer wirst, sprich,"
46.72,49.92, right-wing's favorite political satirist?,Der politisch-satirische Favorit der Rechten?
49.92,54.96, I am frankly nostalgic for the 1980s when sleeping with the president meant that you'd attended,"Ich bin ehrlich gesagt nostalgisch für die 1980er Jahre, als schlafen"
54.96,55.96, a cabinet meeting.,a cabinet meeting.
56.8,62.8," Um, if you want to know why political incumbents are in trouble this year, spend some time on","Um, wenn Sie wissen wollen, warum die politischen Amtsträger in Schwierigkeiten"
62.8,64.8, the road with PJ O'Rourke.,die Straße mit PJ O'Rourke.
64.8,70.56," His suspicious, cynical takes on government find a friendly audience among small businessmen.","Seine verdächtigen, zynischen Auffassungen von der Regierung finden bei"
70.56,75.4," And his smart, often smart, alloky view of the world is struck a chord among his fellow","Und seine intelligente, oft intelligente und alloky Sicht der Welt hat bei"
75.4,79.44," jaded baby boomers, who crowd into bookstores for his readings.","jaded Baby Boomers, die sich in Buchhandlungen für seine Lesungen ström"
79.44,82.16, I find your political observations so astute.,Ich finde Ihre politischen Bemerkungen so klug.
82.16,86.75999999999999, And have made his books like Parliament of Hors and give war a chance best sellers.,Und haben seine Bücher wie Parlament von Hors und geben Krieg eine Chance Bestseller.
86.75999999999999,89.75999999999999, I am a liberal and I probably should hate everything you write.,"Ich bin ein Liberaler und ich sollte wahrscheinlich alles hassen, was du"
89.75999999999999,91.76, And maybe it's because I'm an 18 liberal on this way.,"Und vielleicht ist es, weil ich auf diesem Weg 18 liberal bin."
91.76,97.16," I'm a conservative, but I find your law.","Ich bin ein Konservativer, aber ich finde Ihr Recht."
97.16,101.48," Like many in his audiences, he used to wear his hair long, smoked dope, and believe in","Wie viele seiner Zuschauer trug er sein Haar lange, rauchte Dope und glaube"
101.48,103.28, free sex.,freies Sex.
103.28,107.96," But as he's gotten older and more prosperous, he's become less of a libertine and more",Aber mit zunehmender Alterung und Wohlstand wird er weniger Libertin und mehr
107.96,109.48, of a libertarian.,- - - - - - - - -
109.48,113.88, Which means he harbors a deep suspicion of government at all levels.,"Das bedeutet, dass er einen tiefen Misstrauen gegenüber der Regierung auf allen Ebenen"
113.88,116.0, We've got two political parties in this country.,Wir haben zwei politische Parteien in diesem Land.
116.0,117.0, We've got the Democrats.,Wir haben die Demokraten.
117.0,118.72, They're the party of government activism.,Sie sind die Partei des Regierungsaktivismus.
118.72,122.8," The party that says the government can make you richer, smarter, taller, take a dozen","Die Partei, die sagt, die Regierung kann dich reicher, intelligenter, größer,"
122.8,125.08, strokes off your golf game.,"- er hat es geschafft, seinem Golfspiel einen guten"
125.08,126.08, And they're the Republicans.,Und sie sind die Republikaner.
