Start Time,End Time,Text,translated_text
0.0,6.96, A story about someone named Reality Winner has to start with the name.,Eine Geschichte über jemanden namens Reality Winner muss mit dem Namen beginnen.
6.96,13.56," Her father, playing on the family name, explained he wanted a real winner, and so reality.","Ihr Vater, spielend auf den Familiennamen, erklärte, er wollte einen e"
13.56,20.18," Maybe that still doesn't make sense, but it is the least baffling fact in this story.","Vielleicht ist das noch nicht ganz sinnvoll, aber es ist die am wenigsten"
20.18,26.44, Reality Winner became an infamous name in 2017 when she was accused of espionage.,"Reality Winner wurde im Jahr 2017 zu einem berüchtigten Namen, als sie der Spion"
26.44,31.36, She was hit with the longest sentence ever imposed on a civilian for leaking classified,"Sie wurde mit der längsten Strafe, die jemals einem Zivilisten für das"
31.36,33.6, information to the media.,Information der Medien.
33.6,37.04," Now released, she spoke with us.","Jetzt freigelassen, sprach sie mit uns."
37.04,43.98," Did Reality Winner do exceptionally grave damage, as the prosecutor said, or did she reveal","Hat Reality Winner, wie die Staatsanwaltin sagte, außergewöhnlich schweren Schaden ange"
43.98,47.72, a truth that defended America?,"eine Wahrheit, die Amerika verteidigt?"
47.72,53.760000000000005," It's complicated, like the young woman with the unforgettable name.","Es ist kompliziert, wie die junge Frau mit dem unvergesslichen Namen."
53.76,59.16, The story will continue in a moment.,Die Geschichte wird in einem Moment fortgesetzt.
59.16,61.84, I am not a traitor.,Ich bin kein Verräter.
61.84,65.92, I am not a spy.,Ich bin kein Spion.
65.92,73.56, I am somebody who only acted out of love for what this country stands for.,"Ich bin jemand, der nur aus Liebe für das gehandelt hat, wofür"
73.56,74.84, Nobody ever really appreciated it.,Niemand hat es je wirklich schätzt.
74.84,81.96, We met 30-year-old reality winner at home in Texas after four years behind bars.,Wir trafen eine 30-jährige Reality-Gewinnerin zu Hause in Texas nach
81.96,88.28, Espionage seems surprising for a woman who joined the Air Force at 19 and won the Air Force,"Spionage scheint für eine Frau, die mit 19 Jahren in die Luftwaffe ein"
88.28,95.84," Commandation Medal in 2016 for, quote, 600 enemies killed in action.","Die Commandation Medal in 2016 für, zitieren, 600 Feinde, die im Einsatz"
95.84,101.96, She did that as a linguist in a combat unit fighting secret missions.,"Sie tat dies als Linguistin in einer Kampfeinheit, die Geheim"
101.96,103.96, How many languages do you speak?,Wie viele Sprachen sprechen Sie?
103.96,106.4," Farsi, Dari, and Pashdo.","Farsi, Dari und Pashdo."
106.4,110.76, These are the languages of Afghanistan and Iran.,Dies sind die Sprachen Afghanistans und des Irans.
110.76,112.28, Yes.,Ja.
112.28,118.72," But her duty station was 7,000 miles away from those countries at Fort Mead, Maryland.","Aber ihr Dienstort war 7 000 Meilen von diesen Ländern entfernt, in"
118.72,120.36, Why are you at Fort Mead?,Warum bist du bei Fort Mead?
120.36,121.36, Not.,Nein.
121.36,123.56, Am I allowed to say that?,Darf ich das sagen?
123.56,124.56, Nope.,Nein.
124.56,125.56, Nope.,Nein.
125.56,130.64, That's the voice of her lawyer who helped her steer clear of secrets in our interview.,"Das ist die Stimme ihres Anwalts, der ihr bei unserem Interview gehol"
130.64,137.04000000000002," Winner wouldn't say it, but at Fort Mead, linguists, eavesdropped on communications in","Sieger würde es nicht sagen, aber in Fort Mead hörten Sprach"
137.04,141.64, Afghanistan to identify targets for armed drones.,"Afghanistan, um Ziele für bewaffnete Drohnen zu identifi"
141.64,144.79999999999998, It is not something I am allowed to discuss.,Ich darf darüber nicht diskutieren.
144.79999999999998,148.68," She didn't discuss her mission with her mother, Billy Winner Davis.","Sie hat ihre Mission nicht mit ihrer Mutter, Billy Winner Davis, diskutiert."
148.68,156.23999999999998," Only one conversation that I had with her, did she ever let on how heavy her work was.","Nur in einem Gespräch mit ihr hat sie jemals gesagt, wie schwer ihre Arbeit war"
156.23999999999998,162.51999999999998," I'll never forget, because she said, you know, when you're watching somebody on your screen","Ich werde nie vergessen, denn sie sagte, Sie wissen, wenn Sie jemanden auf Ihre"
162.52,169.08," and that person goes, poof, you've got to make sure that you've got everything right.","und dieser Mensch geht, poof, du musst sicherstellen, dass du alles richtig"
