Start Time,End Time,Text,translated_text
0.0,8.16," After humiliating defeats in Ukraine, Russian President Vladimir Putin told his people that",Nach demütigenden Niederlagen in der Ukraine hat der russische Präsident Wla
8.16,14.8," the U.S. has bent on destroying the Russian homeland. On Wednesday he drafted 300,000",- Während der ersten Woche des ersten Jahres des ersten Jahres des ersten
14.8,20.64," reservists and threatened nuclear war. This is not a bluff, he said.",Während der ersten Woche des ersten Jahres des Jahres hat die deutsche Regierung die
20.64,26.2," Ukraine dominated this past week's annual gathering of the UN General Assembly in New York,",Die Ukraine hat die jährliche Tagung der UN-Generalversammlung in New York in
26.2,33.64, attended by President Biden and more than 120 world leaders. Friday we met the U.S. Secretary,Präsident Biden und über 120 führende Persönlichkeiten aus aller Welt trafen sich am
33.64,39.96," of State, Antony Blinken, to talk about a world of challenges and Putin's nuclear threat.","Antony Blinken, Staatsoberhaupt, um über eine Welt der Herausforderungen und"
41.96,43.96, The story will continue in a moment.,Die Geschichte wird in einem Moment fortgesetzt.
47.64,52.92, How concerned should Americans be about the prospect of nuclear war?,Wie besorgt sollten die Amerikaner über die Aussicht auf einen nuklearen Krieg
53.0,60.52," Scott, we've heard a lot of irresponsible rhetoric coming out of Vladimir Putin, but we're focused on","Scott, wir haben eine Menge unverantwortlicher Rhetorik von Wladimir"
60.52,66.76," making sure that we're all acting responsibly, especially when it comes to this kind of loose rhetoric.","sicherzustellen, dass wir alle verantwortungsbewusst handeln, insbesondere"
66.76,73.08, We have been very clear with the Russians publicly and as well as privately to stop the loose talk,"Wir haben uns gegenüber den Russen öffentlich und privat sehr deutlich dafür eingesetzt, das schwache"
73.08,74.36, about nuclear weapons.,über Atomwaffen.
74.36,80.84," Privately, the United States has been in communication with the Kremlin about these threats of nuclear war.",Privat standen die Vereinigten Staaten mit dem Kreml in Kontakt über diese Dr
80.84,88.28," Yes, it's very important that Moscow hear from us and know from us that the consequences","Ja, es ist sehr wichtig, dass Moskau von uns hört und von"
89.08,95.56," would be horrific and we've made that very clear. You call the nuclear talk, loose talk,","Sie nennen das Nukleargespräch, das schwache Gespräch, das heißt, das"
96.28,102.28, but isn't Vladimir Putin telling us what he's going to do if he is back to any further,"Aber sagt uns nicht Vladimir Putin, was er tun wird, wenn er wieder zu"
102.28,103.4, into a corner?,in eine Ecke?
103.4,109.48, Vladimir Putin has a clear way out of the war he started and that's to end it. If Russia stops fighting,"Vladimir Putin hat einen klaren Ausweg aus dem Krieg, den er begonnen hat"
110.28,113.88," the war ends. If Ukraine stops fighting, you can ends.","Wenn die Ukraine aufhört zu kämpfen, kann man es beenden."
114.6,120.6, Is there anyone in the Kremlin who can tell Vladimir Putin know if he decides to launch a battlefield,"Gibt es im Kreml jemanden, der Wladimir"
120.6,130.84," nuclear weapon? They have a chain of command whether it works or not to be seen, but I think what",Die Europäische Union hat eine ganze Reihe von militärischen und mili
130.84,136.84, you're pointing to is a larger challenge and that is the Achilles' heel of autocracies anywhere.,"es ist eine größere Herausforderung, auf die du hinweisst, und das ist"
136.84,143.4, There is usually not anyone who has the capacity or the will to speak truth to power.,"In der Regel gibt es niemanden, der die Fähigkeit oder den Willen"
143.4,150.2, And part of the reason I think Russia has gotten itself into the mess that it's in is because,"Und ein Teil des Grundes, warum ich glaube, dass Russland sich in das"
150.2,154.6, there is no one in the system to effectively tell Putin he's doing the wrong thing.,"es gibt niemanden im System, der Putin faktisch sagen kann, dass"
154.6,160.44," In our interview last week, President Biden told us that he had a message for Vladimir Putin","In unserem Interview letzte Woche sagte Präsident Biden, er habe eine Botschaft an Vladimir"
160.44,162.44, on the use of nuclear weapons.,zur Verwendung von Kernwaffen.
162.6,171.96, Don't. Don't. He went on to say the US response would be consequential.,"Nein. Nein. Er fuhr fort, dass die Reaktion der USA Konsequenzen"
172.52,173.72, What did he mean by that?,Was hat er damit gemeint?
173.72,178.68, I'm not going to get into what the consequences would be. Any use of nuclear weapons,Ich werde nicht auf die Folgen eingehen.
178.68,185.16," would have catastrophic effects for, of course, the country using them, but for many others as well.","katastrophale Auswirkungen für das Land, das sie einsetzt, aber"
185.16,190.44," If you can't give a specifics about a US response, can you tell us that the administration has a plan?","Wenn Sie keine konkreten Angaben zu einer Reaktion der USA machen können, können Sie uns sagen"
191.24,196.36, We do. Is it a plan that would prevent World War III?,"Wir tun es. Ist es ein Plan, der den dritten Weltkrieg verhindern"
197.16,201.96, President Biden has been determined that as we're doing everything we can to help the Ukrainians,"Präsident Biden ist entschlossen, dass wir alles in unserer Macht Steh"
201.96,206.68," defend themselves, as we're doing everything we can to rally other countries, to put pressure on","verteidigen sich, da wir alles in unserer Macht Stehende tun,"
206.68,210.76," Russia, we're also determined that this war not expand, not get broader.","Russland, wir sind auch entschlossen, dass dieser Krieg nicht ausdehnen, nicht"
211.4,212.12, Excuse me.,Entschuldigen Sie.
212.12,219.32," As we were speaking to Secretary Blinken, news broke that a UN investigative commission had found","Als wir mit Sekretär Blinken sprachen, erfuhr man"
219.32,227.16, evidence of rape and torture of children in Russian-occupied Ukraine. The panel goes on to say,Die Kommission weist weiterhin auf die Vergewaltigung und Folter von Kindern
227.16,233.4," based on the evidence gathered by the commission, it has concluded that war crimes have been",aufgrund der von der Kommission gesammelten Beweise ist sie zu dem Schluss
233.4,240.04, committed in Ukraine. What does justice look like for Ukraine?,Wie sieht die Gerechtigkeit für die Ukraine aus?
241.08,248.92," Justice looks like accountability, accountability for those who perpetrated these war crimes,","Gerechtigkeit sieht wie Rechenschaftspflicht aus, Rechenschaftspflicht für die"
248.92,254.52," these atrocities, as well as for those who ordered them. It's one of the reasons Scott, why","hnlich wie die anderen, hat er es geschafft, die"
255.24,259.4," we're doing everything we can, to support those who are trying to compile the evidence,","Wir tun alles, um diejenigen zu unterstützen, die versuchen, Beweise zu sammeln,"
260.6,264.84," and to investigate, and ultimately to prosecute those responsible.",und zu untersuchen und schließlich die Verantwortlichen zu verfolgen.
264.84,267.72, To prosecute? Do you believe there should be war crime trials?,"Sind Sie der Meinung, dass es Prozesse gegen Kriegsverbrecher geben sollte"
267.72,271.88," I was in Ukraine a couple of weeks ago. One of the places I visited was a city called Erpen,","Ich war vor einigen Wochen in der Ukraine, und eines der Orte, die"
272.52,278.12," and I saw residential buildings, building block after building block, totally bombed out.","und ich sah Wohngebäude, Baustein für Baustein, völlig abge"
279.0,285.0," This was the totally indiscriminate use of force. Wherever the Russian tide recedes,",Das war der völlig willkürliche Einsatz von Gewalt.
285.56,289.24, what's left in its wake is very clear evidence of atrocities and war crimes.,"Was im Gefolge bleibt, sind ganz klare Beweise für Gräueltaten"
289.8,291.48, The bodies I saw were not fake.,"Die Körper, die ich sah, waren nicht gefälscht."
292.12,296.68," Attracities were laid before the UN Security Council last Thursday,",Der UN-Sicherheitsrat hat am vergangenen Donnerstag At
297.40000000000003,301.32," drawing from the Russian Foreign Minister, a dubious defense.","gezogen aus dem russischen Außenminister, eine zweifelhafte Verteidigung."
302.12,310.12," When Sergei Lavrov says that the atrocities have been staged, and it is Russia that is the victim,","Wenn Sergei Lavrov sagt, die Gräueltaten seien ins"
311.16,313.4, Tony Blinken is sitting there thinking what?,Tony Blinken sitzt da und denkt was?
314.44,319.0," This is Alice in Wonderland. It's the world upside down. Up is down, white is black,",Dies ist Alice in Wonderland. Es ist die Welt auf den Kopf gestellt.
319.96,326.36," truth is false. But here's the things Scott, all of these words,",
326.76,332.92, all of these words ring totally hollow to every member on the Security Council.,all diese Worte klingen für jedes Mitglied des Sicherheitsrates völlig
332.92,342.36," So this spewing of words is not having an effect. On the contrary, I think it just shows the total","Dieses Wortsprühen hat also keine Wirkung, sondern ich denke"
342.36,347.72, disconnect between Russia and virtually the entirety of the rest of the world.,- Trennung zwischen Russland und praktisch der gesamten übrigen Welt.
348.68,354.6," At the moment we spoke to the Secretary, Russia was hurrying through what it calls elections","Im Moment, da wir mit dem Sekretär gesprochen haben, beschleunigt"
355.08000000000004,361.48, to force these areas of Ukraine's occupied East and South into the Russian Federation.,Diese Gebiete des besetzten Ostens und Südens der Ukraine in die Ru
362.04,368.84," These so-called elections are a sham period. They go in, they put in puppet governments,","Diese so genannten Wahlen sind eine Scheinzeit: Sie treten ein, sie"
368.84,375.24," local governments, and then they proceed with a vote, which they'll manipulate in any event","lokale Regierungen, und dann treten sie mit einer Abstimmung fort, die"
376.12,382.52," in order to try to declare the territory, Russian territory. It is not, it will never be recognized","Um zu versuchen, das Territorium, das russische Territorium, zu erklären,"
