Start Time,End Time,Text,translated_text
0.0,7.88," In a major escalation of the war in Europe, Russian President Vladimir Putin announced Friday",Der russische Präsident Vladimir Putin kündigte am Freitag eine große Eskalation
7.88,11.76, he is annexing about 20 percent of Ukraine.,Er annektiert etwa 20 Prozent der Ukraine.
11.76,16.96," The region, in the east and in the south, is only partly controlled by Russia because","Die Region im Osten und im Süden wird nur teilweise von Russland kontrolliert, weil"
16.96,19.48, of a Ukrainian counter-offensive.,einer ukrainischen Gegenoffensive.
19.48,26.4," In a belligerent speech, Putin referred to nuclear weapons and accused the West of Satanism.",In einer kriegerischen Rede hat Putin sich auf Atomwaffen berufen
26.4,30.56, He vowed that the territory will be Russian forever.,"Er hat gelobt, dass das Territorium für immer Russisch sein"
30.56,35.66, President Biden responded that the U.S. will never recognize the annexation and will support,"Präsident Biden antwortete, dass die USA die Annexion"
35.66,39.8, Ukraine's military as long as it takes.,"Die ukrainische Armee, solange es dauert."
39.8,46.44," Seven months of war have been catastrophic for Ukrainian families, many of whom turn for","Sieben Monate Krieg waren für ukrainische Familien katastrophal, von"
46.44,49.8, hope to Olinna Zelenska.,hoffe Olinna Zelenska.
49.8,55.72," The first lady of Ukraine was trained as an architect, made a living as a comedy writer,","Die erste Dame der Ukraine wurde als Architektin ausgebildet, lebte als Komö"
55.72,58.92, but a woke last February to a tragedy.,aber a woke im vergangenen Februar zu einer Tragödie.
58.92,65.64," Overnight she became an ambassador, a mourner, and the healer of a nation fighting for its","Über Nacht wurde sie Botschafterin, Trauererin und Heilerin einer Nation, die für ihre"
65.64,67.84, life.,life.
67.84,73.56, The story will continue in a moment.,Die Geschichte wird in einem Moment fortgesetzt.
73.56,79.24," We met in the capital, Kiev, at a location we agreed not to disclose.","Wir trafen uns in der Hauptstadt, Kiew, an einem Ort, den"
79.24,83.28," The day of our interview, Ukraine was forcing a Russian retreat.",Am Tag unseres Interviews zwang die Ukraine einen russischen Rückzug.
83.28,84.52, I'm ready.,Ich bin bereit.
84.52,88.03999999999999, And exposing the horrors of the invasion.,Und die Entdeckung der Schrecken der Invasion.
88.03999999999999,94.56, What have the families of Ukraine lost?,Was haben die Familien der Ukraine verloren?
94.56,98.2," Half our families are separated, she told us.","Die Hälfte unserer Familien sind getrennt, sagte sie."
98.2,103.08," Because someone is at the front, someone went abroad to save their children, someone","Weil jemand an der Front ist, ging jemand ins Ausland, um seine Kinder"
103.08,105.8, is under Russian occupation.,ist unter russischer Besatzung.
105.8,109.56, People are afraid to leave their homes because of shelling.,"Die Menschen haben Angst, ihre Häuser zu verlassen, weil sie bombardiert werden."
109.56,112.68, They're afraid to even try to evacuate.,"Sie haben Angst, auch nur zu versuchen, zu evakuieren."
112.68,114.96, We have thousands of dead.,Tausende Tote sind zu verzeichnen.
114.96,117.64, Hundreds of children are dead.,Hunderte Kinder sind tot.
117.64,120.48, We were just in Cherneheev.,Wir waren gerade in Tscherneheev.
120.48,128.4," We saw the soccer stadium had been bombed, the library, a hospital, public school number","Wir sahen, dass das Fußballstadion bombardiert worden war, die"
128.4,132.68," 18, public school number 21.","18, ffentliche Schule Nummer 21."
132.68,136.68, What are the Russians trying to do?,Was versuchen die Russen zu tun?
