Start Time,End Time,Text,translated_text
0.0,7.74," On February 24th, with the Russian invasion coming at him from three sides, Ukrainian President","Am 24. Februar, als die russische Invasion von drei Seiten auf ihn s"
7.74,12.96," Volodomir Zelensky reached for his most powerful weapon, his phone.",Volodomir Zelensky griff nach seiner mächtigsten Waffe
12.96,20.16," The moment Zelensky told his people he refused to flee, Ukraine refused to fall.","In dem Moment, in dem Zelensky seinem Volk sagte, er wolle"
20.16,26.0," Leaders don't become legends often, but over these nearly seven weeks this 44-year-old","Führer werden nicht oft zu Legenden, aber in diesen fast sieben Wochen hat"
26.0,32.08, former comedian inspired his country to stand up to the overwhelming force of Russia.,"Der ehemalige Komiker inspirierte sein Land, sich der überwältigenden Kraft"
32.72,39.44," Last Wednesday, we were admitted to Zelensky's fortified war rooms to meet the man who stands",Am vergangenen Mittwoch wurden wir in Zelenskys befestigten Kriegs
39.44,46.64, between the Russian Army and the free world. The story will continue in a moment.,Die Geschichte wird in einem Moment fortgesetzt.
49.84,55.92, We met President Zelensky in the blacked-out hallways of,Wir trafen Präsident Zelensky in den schwarzen Hallen des
55.92,62.64," his command center in Ukraine's capital, Kiev. It is a fortress, crowded with troops,","er Kommandozentrum in der ukrainischen Hauptstadt Kiew, eine"
62.64,66.88," machine guns, mines, explosives, and a great deal more.","Maschinengewehre, Minen, Sprengstoffe und vieles mehr."
66.88,67.84, Are you safe here?,Sind Sie hier sicher?
69.6,73.84," Yeah, I'm fine, he told us. I feel pretty calm about it.","Ja, ich bin in Ordnung, sagte er, und ich fühle mich"
73.84,77.12," Our guards are worried because there could be an airstrike,","Unsere Wachen sind besorgt, weil es möglicherweise einen Luftangriff geben"
77.6,82.24000000000001," but when we get the air raid evacuation signal, we head downstairs.","Aber wenn wir das Austrittssignal für den Luftangriff bekommen, fahren wir"
82.24,86.16," Mr. President, what has it been like working under these conditions?","Herr Präsident, wie war es, unter diesen Bedingungen zu arbeiten?"
88.0,93.12, We found a way how to work. We don't have any other way.,"Wir haben einen Weg gefunden, wie wir arbeiten, und wir haben keinen anderen Weg."
93.12,95.76, You found a way how to work. You don't have any other way.,"Du hast einen Weg gefunden, wie du arbeitest, und du hast keinen"
97.92,102.0," Slipping back into Ukrainian, he said, it has to be dark in here.","Rückkehr ins Ukrainische, sagte er, muss es hier dunkel"
102.0,106.64, You can't switch the lights on because a bomb could just fly in during an airstrike.,"Man kann die Lampen nicht einschalten, weil eine Bombe während eines Luftan"
107.6,110.32, You have troops sleeping.,Du hast Truppen schlafen.
110.32,115.36, The President and his staff have lived here for 46 days now.,Der Präsident und seine Mitarbeiter leben hier seit 46 Tagen.
117.04,121.04," Russian invasion plan expected Kiev to fall in three days,","Der russische Invasionsplan sah vor, dass Kiew in"
121.76,126.4, but that relied on one assumption that Zelensky would run.,"Aber das beruhte auf einer Annahme, dass Zelensky laufen würde."
129.2,132.8," When everyone is telling you you need to go, you need to think.","Wenn man von allen sagt, man müsse gehen, dann muß man denken"
132.88000000000002,136.96," Yeah, but before I do something, I analyze the situation.","Ja, aber bevor ich etwas mache, ich analysiere die Situation."
136.96,139.68, I've always done it calmly without any chaos.,"Ich habe es immer ruhig gemacht, ohne Chaos."
140.88000000000002,145.92000000000002," I might not be the strongest warrior, but I'm not willing to betray anyone.","Ich bin vielleicht nicht der stärkste Krieger, aber ich bin nicht"
146.8,150.32000000000002, What did you tell your wife and children about your decision?,Was haben Sie Ihrer Frau und Ihren Kindern über Ihre Entscheidung gesagt?
152.32000000000002,156.72000000000003," I told them this is my choice, and I can't do it any other way.","Ich sagte ihnen, das sei meine Entscheidung, und ich kann es nicht and"
158.56,162.32000000000002, I'm the President of my country. I'm the President of our people.,"Ich bin Präsident meines Landes, ich bin Präsident unseres Volkes."
162.88000000000002,166.24," And even if I wasn't President, I would have stayed here.","Und selbst wenn ich nicht Präsident wäre, hätte ich hier geblieben."
167.84,173.44," My family understood, not only understood, but fully supported my decision.","Meine Familie hat meine Entscheidung verstanden, nicht nur verstanden, sondern hat sie"
173.44,174.48000000000002, Fully.,Vollständig.
175.76000000000002,180.48, It was the decision that saved Ukraine from immediate collapse.,"Es war die Entscheidung, die die Ukraine vor dem unmittelbaren Zusammenbruch rettete."
181.92,184.0," Good evening, everyone, he said.","Guten Abend, alle, sagte er."
185.04,187.76, We are all here. Our soldiers are here.,"Wir alle sind hier, unsere Soldaten sind hier."
187.76,189.76, The citizens of the country are here.,Die Bürger des Landes sind hier.
190.24,196.48," We are all here protecting our independence, our country, and we're going to continue.","Wir alle sind hier, um unsere Unabhängigkeit, unser Land zu schützen, und wir werden"
198.8,203.04, You had made a decision to give your life for your country if it came to that.,"Sie hatten beschlossen, für Ihr Land ihr Leben zu geben, wenn es dazu kommen"
207.44,210.32," I don't want to make myself out to be a hero, he said.","Ich will mich nicht als Held erweisen, sagte er."
211.12,214.48," I love my family. I want to live many more years,","Ich liebe meine Familie, ich möchte noch viele Jahre leben,"
215.12,222.08," but choosing between running or being with my people, of course I'm ready to give my life for my country.","aber es ist eine Entscheidung zwischen laufen oder mit meinem Volk sein, natürlich bin"
224.88,232.16," For a man with 44 million lives in his hands, we found Zelensky buoyant, gracious, humble,","Für einen Mann mit 44 Millionen Leben in seinen Händen, wir Zelensky"
232.96,234.08, and brutally honest.,und brutal ehrlich.
237.6,243.2," The day before our visit and angriors Zelensky scolded the UN Security Council,",Am Tag vor unserem Besuch und Angriors Zelensky schimmel
243.84,246.0, where's the security he asked?,wo ist die Sicherheit fragte er?
248.88,251.2," In speaking to NATO, you called them weak.",In Ihren Gesprächen mit der NATO haben Sie sie als schwach bezeichnet.
252.0,257.36," In speaking to the UN Security Council, you said, if you can't help, you shouldn't exist.",In Ihrem Gespräch mit dem UN-Sicherheitsrat haben Sie gesagt:
258.88,265.44, Not very diplomatic of you. I wonder why you feel the need to speak so bluntly.,"Ich frage mich, warum Sie sich so unverblümt äußern müssen."
266.08,271.84," When you're working at diplomacy, there are no results.","Wenn man in der Diplomatie arbeitet, gibt es keine Ergebnisse."
271.84,280.72, All of this is very bureaucratic. That's why the way I am talking to them is absolutely justifiable.,"All dies ist sehr bürokratisch, und deshalb ist die Art und Weise,"
280.72,286.32, I don't have any more lives to give. I don't have any more emotions.,"Ich habe keine Leben mehr zu geben, ich habe keine Emotionen mehr."
286.32,293.12, I'm no longer interested in their diplomacy that leads to the destruction of my country.,"Ich bin nicht mehr an ihrer Diplomatie interessiert, die zur Zerstörung meine"
293.92,298.64," A lot of countries have changed their mind about Ukraine and about our people,","Viele Länder haben ihre Meinung über die Ukraine und unsere Bevölkerung geändert,"
299.44,301.92, but I think we've paid too high a price for that.,"aber ich denke, wir haben dafür einen zu hohen Preis gezahlt."
307.92,313.04, We are defending the ability of a person to live in the modern world.,"Wir verteidigen die Fähigkeit einer Person, in der modernen Welt zu leben"
314.64,316.64, We are defending the right to live.,Wir verteidigen das Recht auf Leben.
317.76,320.16, I never thought this right was so costly.,"Ich habe nie gedacht, dass dieses Recht so teuer war."
320.56,328.88000000000005," These are human values, so that Russia doesn't choose what we should do and how I'm exercising my rights.","Das sind menschliche Werte, so dass Russland nicht entscheidet, was wir tun sollten und wie"
329.76000000000005,333.92, That right was given to me by God and my parents.,Dieses Recht wurde mir von Gott und meinen Eltern gegeben.
336.0,343.68," God was hard to find on our visit to Kyiv's northern suburbs, which Russia occupied for weeks.",Gott war bei unserem Besuch in den nördlichen Vororten Kiew
344.56,347.6, Much of what we found will be difficult to watch.,"Vieles von dem, was wir gefunden haben, wird schwer zu sehen sein."
348.56,357.36," Behind San Andrew's Church, there is a sandy trench, not quite full, of civilian residents of the town of Buccia.","Hinter der Kirche San Andreas befindet sich ein Sandgraben, der nicht ganz"
358.56,364.0," Ukraine stopped the Russians here, 45 minutes from the center of the capital city.","Die Ukraine hielt die Russen hier, 45 Minuten vom Zentrum der Hauptstadt"
364.8,370.8," The Russian retreat was so hasty, it seems there was no time to cover up the war crimes.","Der russische Rückzug war so übereilt, es scheint, als"
372.24,376.64, President Zelensky visited Buccia two days before our interview.,Präsident Zelensky hat Buccia zwei Tage vor unserem Interview besucht.
377.6,379.04, What did you see in Buccia?,Was haben Sie in Buccia gesehen?
380.88,381.92, Smert.,Smert.
381.92,382.72, Death.,Tod.
382.72,384.08, Prost-smert.,Prost-smert.
384.08,385.68, Just death.,Nur Tod.
